headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,get away,"【名/C】逃走, 逃亡, 逃避 / 短い休暇 / （レースなどの）スタート /【動】《...から》抜け出す, 逃げ出す / 《...を持って》逃げる《with ...》",,"【名/C】逃走, 逃亡, 逃避 / 短い休暇 / （レースなどの）スタート /【動】《...から》抜け出す, 逃げ出す / 《...を持って》逃げる《with ...》",/ɡɛt əˈweɪ/,239933,I need to get away from the city and relax in nature.,都会から離れて自然でリラックスしたい。,3007438
,,,,in the meantime,"その間にも, そうしているうちに / それまでの間は / さて話は変わって, ところで",,"その間にも, そうしているうちに / それまでの間は / さて話は変わって, ところで",/ɪn ðə ˈmiːn.taɪm/,239934,"In the meantime, I will finish my work.",その間にも、私は仕事を終わらせます。,3007437
,,,,something of a,"ちょっとした...., 相当の...",,"ちょっとした...., 相当の...",/sʌmˈθɪŋ əv ə/,239935,He is something of a genius.,彼はちょっとした天才だ。,3007439
,,,,catch up,"【形】遅れの取り戻しの, 追い上げの 【句動】《通例受身/get》を巻き込む / 《...に》追いつく《with ...》,遅れを取り戻す / （より高度な人と同じレベルに）達する",,"【形】遅れの取り戻しの, 追い上げの 【句動】《通例受身/get》を巻き込む / 《...に》追いつく《with ...》,遅れを取り戻す / （より高度な人と同じレベルに）達する",/ˈkætʃ ʌp/,239944,I need to catch up on my work.,仕事を取り戻す必要があります。,3007448
,,,,things like that,"そのようなこと, そういったこと",,"そのようなこと, そういったこと",/θɪŋz laɪk ðæt/,239949,I don't like things like that.,私はそのようなことが好きではありません。,3007449
,,,,of little,《be ~》ほとんど...ない,,《be ~》ほとんど...ない,/əv ˈlɪtəl/,239950,He has little knowledge of art.,彼は芸術についてほとんど知識がありません。,3007451
,,,,shut up,"《くだけた話》しゃべるな,黙れ / 話をやめる / ...を黙らせる / 店を閉める,廃業する.",,"《くだけた話》しゃべるな,黙れ / 話をやめる / ...を黙らせる / 店を閉める,廃業する.",/ʃʌt ʌp/,239951,"Hey, could you please shut up for a moment?",ちょっと、しゃべるのやめてくれる？,3007450
,,,,as of,"《期日》現在で, ...の時点で / ...以降に",,"《期日》現在で, ...の時点で / ...以降に",/æz ɒv/,239952,"[[As of]] today, the deadline for submission has passed.",本日現在、提出期限は過ぎている。,3007452
,,,,bother to,わざわざ...する,,わざわざ...する,/ˈbɒðər tuː/,239961,I didn't bother to call him back.,わざわざ彼に電話をかける必要はなかった。,3007467
,,,,as good as,《形容詞・過去分詞・副詞の前で》...も同然で,,《形容詞・過去分詞・副詞の前で》...も同然で,/əz ɡʊd æz/,239962,He is as good as gold.,彼はとても良い人だ,3007465
,,,,take care of,"（人・動物・物など）の世話をする, 面倒を見る / （人・事など）に留意する / （問題・仕事など）を処理する / 《話》じゃあね, さよなら, 元気でね",,"（人・動物・物など）の世話をする, 面倒を見る / （人・事など）に留意する / （問題・仕事など）を処理する / 《話》じゃあね, さよなら, 元気でね",/teɪk kɛər ʌv/,239964,I take care of my younger sister.,私は妹の世話をします。,3007469
,,,,the sight of,"【名】...を見ること / ...の景色, ...の光景 / ...の名所【副】《[[at ~|at the sight of]]》...を見て, ...を一目見て, ...を見てすぐ",,"【名】...を見ること / ...の景色, ...の光景 / ...の名所【副】《[[at ~|at the sight of]]》...を見て, ...を一目見て, ...を見てすぐ",/ðə saɪt əv/,239965,The sight of a beautiful sunset took my breath away.,美しい夕日の光景に息をのむほど感動した。,3007466
,,,,way round,"逃げ道, 回避法, 逃げ方",,"逃げ道, 回避法, 逃げ方",/weɪ raʊnd/,239972,I found a way round the traffic jam and arrived on time.,渋滞を避ける方法を見つけて、時間通りに到着しました。,3007474
,,,,free from,"《be ~》（束縛など）から免れている, ...から解放されている",,"《be ~》（束縛など）から免れている, ...から解放されている",/fɹiː fɹʌm/,239974,She feels free from the constraints of society.,彼女は社会の制約から自由を感じています。,3007475
,,,,as it were,《かたい話》いわば,,《かたい話》いわば,/æz ɪt wɜr/,239976,"He was, [[as it were]], the king of the party.",彼はいわば、そのパーティーの王だった。,3007480
,,,,touch of,"《a ~》少量の..., わずかの... / 《a ~》軽い症状の...",,"《a ~》少量の..., わずかの... / 《a ~》軽い症状の...",/tʌtʃ əv/,239978,There was just a touch of salt in the soup.,スープにはほんの少しの塩味がありました。,3007481
,,,,stand for,（略語などが）...を表す / を象徴する / 《話》《通例否定・疑問文で》...を我慢する / ...に立候補する,,（略語などが）...を表す / を象徴する / 《話》《通例否定・疑問文で》...を我慢する / ...に立候補する,/stænd fɔːr/,239980,NASA stands for National Aeronautics and Space Administration.,NASAはNational Aeronautics and Space Administrationを表します。,3007482
,,,,the bulk of,"【名】...の大部分, ...の主要部分, ...の大半",,"【名】...の大部分, ...の主要部分, ...の大半",/ðə bʌlk ʌv/,239982,The bulk of the work is already done.,仕事の大部分はすでに終わっています。,3007484
,,,,a handful of," 一握りの量の..., 一つかみの量の... / 《くだけて, 通例just/only ~ 》 ほんの少数の..., わずかの...",," 一握りの量の..., 一つかみの量の... / 《くだけて, 通例just/only ~ 》 ほんの少数の..., わずかの...",/ə ˈhændfʊl ʌv/,239983,I only need a handful of nuts for the recipe.,このレシピには一握りのナッツだけが必要です。,3007485
,,,,never mind,"（おわびやお礼に対して）気にしないで, 心配しないで / (考えを翻して) やっぱり([[on second thought]]) / まして...なんて / 《~ about ...》（人･物･事）は大した問題ではない",,"（おわびやお礼に対して）気にしないで, 心配しないで / (考えを翻して) やっぱり([[on second thought]]) / まして...なんて / 《~ about ...》（人･物･事）は大した問題ではない",/ˈnɛvər ˈmaɪnd/,239992,"Never mind, it's not a big deal.",気にしないで、大したことじゃないよ。,3007493
,,,,a degree of,【句】ある程度の,,【句】ある程度の,/ə dɪˈɡriː əv/,239991,I have [[a degree of]] control over the situation.,私は状況をある程度コントロールできる。,1638828
,,,,in one's own right,"自己の権利によって / 自分自身の能力で, 独立して / 生得の権利で, 生まれながらの",,"自己の権利によって / 自分自身の能力で, 独立して / 生得の権利で, 生まれながらの",/ɪn wʌnz əʊn raɪt/,239994,She is a successful lawyer in her own right.,彼女は自己の権利によって成功した弁護士です。,1638845
,,,,more so,ましてそうだ / 《~ than》...よりももっと,,ましてそうだ / 《~ than》...よりももっと,/mɔːr səʊ/,239996,"I enjoy playing sports, more so when I'm with my friends.",私はスポーツをするのが好きですが、特に友達と一緒の時はましてそうです。,3007496
,,,,what if,"《話》もし...したらどうなるだろうか？ / （投げやりに）...だからどうだというの？【名/C】仮の事態, 仮定, 起こりうる事態 /",,"《話》もし...したらどうなるだろうか？ / （投げやりに）...だからどうだというの？【名/C】仮の事態, 仮定, 起こりうる事態 /",/wɒt ɪf/,239977,What if I quit my job and traveled the world?,もし私が仕事を辞めて世界中を旅したらどうなるだろうか？,3007477
,,,,backed by,"...に裏付けられた, ...に証明された / ...に支援された / 《be ~ ...》の後ろに...がある",,"...に裏付けられた, ...に証明された / ...に支援された / 《be ~ ...》の後ろに...がある",/bækt baɪ/,240004,The research findings are backed by extensive data analysis.,研究の結果は、詳細なデータ分析に裏付けられています。,3007504
,,,,wealth of,"《a ~》《かたく・大げさに》豊富な..., 多量の..., 多数の...",,"《a ~》《かたく・大げさに》豊富な..., 多量の..., 多数の...",/wɛlθ ɒv/,240006,He has a wealth of knowledge about history.,彼は歴史に関する豊富な知識を持っています。,1665305
,,,,fond of," 《be ~》（長期間慣れ親しんで）...が大好きである, ...が大変気に入っている / 《be ~ doing》...するのが大好きである, しばしば...する",," 《be ~》（長期間慣れ親しんで）...が大好きである, ...が大変気に入っている / 《be ~ doing》...するのが大好きである, しばしば...する",/fɒnd ɒv/,240010,She is fond of playing the piano.,彼女はピアノを弾くことが大好きです。,1636604
,,,,how about,《話》《提案・勧誘》.…はいかがですか？ / 《意見を求めて》...についてはどうか？,,《話》《提案・勧誘》.…はいかがですか？ / 《意見を求めて》...についてはどうか？,/haʊ əˈbaʊt/,240016,How about going to the movies tonight?,今夜映画に行くのはいかがですか？,3007510
,,,,to go,"【形】（レストランの）持ち帰りの, 持ち帰り用の / （時間・距離・物が）残って,残されている",,"【形】（レストランの）持ち帰りの, 持ち帰り用の / （時間・距離・物が）残って,残されている",/tə ɡoʊ/,240017,I want to go to a restaurant for takeout.,レストランに行って持ち帰りをしたいです。,3007513
,,,,straight away,"【副】すぐに, いきなり
【名】（競技場・レース場・道路などの）直線コース 
【形】即刻の / 直線コースの",,"【副】すぐに, いきなり
【名】（競技場・レース場・道路などの）直線コース 
【形】即刻の / 直線コースの",/streɪt əˈweɪ/,240018,He ran straight away on the race track.,彼は競技場の直線コースで直進した。,3007514
,,,,owing to,"《ややかたく》...のために, ...が原因で",,"《ややかたく》...のために, ...が原因で",/ˈoʊɪŋ tu/,240019,"Owing to the heavy rain, the baseball game was canceled.",激しい雨のため、野球の試合は中止されました。,3007518
,,,,look to,"...の方を見る / 《援助などを》〈人〉に期待する, に待ち望む《for ... / to do》/  （より良くしようと）...について考える / 《命令形/ ~ it that ...》《....となるように》 注意しろ",,"...の方を見る / 《援助などを》〈人〉に期待する, に待ち望む《for ... / to do》/  （より良くしようと）...について考える / 《命令形/ ~ it that ...》《....となるように》 注意しろ",/lʊk tuː/,240021,I look to the future with hope.,私は希望を持って将来を見つめます。,3007519
,,,,the lot,"【名】全部, 全員, 全体, すっかり, 一切がっさい",,"【名】全部, 全員, 全体, すっかり, 一切がっさい",/ðə lɒt/,240023,I won the lot in the lottery.,私は宝くじで全部当てた。,3007517
,,,,third party,(事件などに偶然巻き込まれた)第三者,,(事件などに偶然巻き込まれた)第三者,/θɜrd ˈpɑr.ti/,43151,The third party was not involved in the accident.,第三者は事故に関与していませんでした。,3005717
,,,,a variety of,"バラエティ豊かな, 種類豊富な, 色とりどりの, いろいろな, 寄せ集めの",,"バラエティ豊かな, 種類豊富な, 色とりどりの, いろいろな, 寄せ集めの",/ə vəˈraɪəti ʌv/,239651,This store offers a variety of products to choose from.,この店では、選ぶことができるバラエティ豊かな商品があります。,3007163
,,,,there is,...がある,,...がある,/ðɛr ɪz/,239528,There is a cat on the table.,テーブルの上に猫がいます。,3007049
,,,,a number of,いくつかの... / たくさんの...,,いくつかの... / たくさんの...,/ə ˈnʌm.bər ʌv/,239546,I have a number of books on my shelf.,私の本棚にはたくさんの本があります。,3007066
,,,,was to,《書》《予定》...することになっていた / 《意志》...するつもりだった / 《運命》...する運命にあった /《義務》...しなければならなかった / 《可能》...できた / ,,《書》《予定》...することになっていた / 《意志》...するつもりだった / 《運命》...する運命にあった /《義務》...しなければならなかった / 《可能》...できた / ,/wɒz tuː/,239550,"I was supposed to go to the party last night, but I got sick.",昨夜、パーティーに行く予定だったけど、病気になってしまった。,3007070
,,,,tend to,"...しがちである, ...する傾向がある《~ do》 / ...という気がする,どちらかといえば...のようだ《~ think that》 / ...に気を配る, ...の世話をする",,"...しがちである, ...する傾向がある《~ do》 / ...という気がする,どちらかといえば...のようだ《~ think that》 / ...に気を配る, ...の世話をする",/tɛnd tuː/,239566,People tend to procrastinate when they have a lot of work to do.,人々は仕事がたくさんあると、先延ばしにしがちです。,3007084
,,,,instead of,"...の代わりに, ...ではなくて, ...どころか",,"...の代わりに, ...ではなくて, ...どころか",/ɪnˈstɛd ʌv/,239587,I decided to walk instead of taking the bus.,バスに乗る代わりに歩くことに決めました。,3007103
,,,,make sure,"を確かめる,を確認する / 確実に...する,忘れずに...する《~ that ...》",,"を確かめる,を確認する / 確実に...する,忘れずに...する《~ that ...》",/meɪk sʊr/,239607,Make sure to double-check your work before submitting it.,提出する前に、仕事を二重に確かめるようにしてください。,3007122
,,,,consist of,"...から成る, ...で構成される",,"...から成る, ...で構成される",/kənˈsɪst ɒv/,239609,The team consists of five members.,チームは5人のメンバーから成り立っています。,3007123
,,,,come to,（一定期間の経験から）…するようになる；（成り行きとして）…するようになる《do》、意識を取り戻す,,（一定期間の経験から）…するようになる；（成り行きとして）…するようになる《do》、意識を取り戻す,/kʌm tuː/,239627,I hope he will come to his senses soon.,彼がすぐに意識を取り戻すことを願っています。,6535580
,,,,shake one’s head,（否定・拒否などを表すために）首を横に振る / （疑念・落胆・悲しみ・恥ずかしさなどを表すために）首を左右に振る,,（否定・拒否などを表すために）首を横に振る / （疑念・落胆・悲しみ・恥ずかしさなどを表すために）首を左右に振る,/ʃeɪk wʌnz hɛd/,239684,She shook her head to indicate that she didn't agree with the proposal.,彼女は提案に同意しないことを示すために首を横に振った。,1637960
,,,,heard of,"（事･物･人）のことを聞いた, ...の存在を初めて聞いた",,"（事･物･人）のことを聞いた, ...の存在を初めて聞いた",/hɜːrd ɒv/,239747,Have you ever heard of the new restaurant in town?,最近の町の新しいレストランを聞いたことがありますか？,3007260
,,,,rid of,"《be ~》（不愉快な人・物）がなくなって / 《get ~ 》...を捨てる, ...を廃棄する,...を取り除く",,"《be ~》（不愉快な人・物）がなくなって / 《get ~ 》...を捨てる, ...を廃棄する,...を取り除く",/rɪd ɒv/,239761,I finally got rid of that old car.,やっとあの古い車を手放した。,3007269
,,,,oh well,"《諦め》まっ, 仕方がないか",,"《諦め》まっ, 仕方がないか",/əʊ wɛl/,239766,"Oh well, I guess there's nothing we can do about it now.",まあ、今さら何もできないということですね。,6535853
,,,,meant to,"《be ~》...であることを意図されている, ...するように作られている / ...になるよう運命づけられている /  （義務で）...しなければならない, ...することになっている,",,"《be ~》...であることを意図されている, ...するように作られている / ...になるよう運命づけられている /  （義務で）...しなければならない, ...することになっている,",/mɛnt tuː/,239770,"She was [[meant to]] be a doctor, but she decided to pursue a career in art instead.",彼女は医者になる予定だったが、代わりに芸術の分野でのキャリアを追求することに決めた。,3008845
,,,,sight of,"《[[the~|the sight of]]》...を見ること, ...の景色, ...の光景 /《a ~》多数の... / 《[[at ~|at the sight of]]》...を見てすぐ / 《[[can't bear [stand] the ~|can't bear the sight of]]》...が大嫌いである / 《[[catch [get, have] ~|catch sight of]]》...を見つける /《in ~》...が見えるところに / 《[[lose ~|lose sight of]]》...を見失う",,"《[[the~|the sight of]]》...を見ること, ...の景色, ...の光景 /《a ~》多数の... / 《[[at ~|at the sight of]]》...を見てすぐ / 《[[can't bear [stand] the ~|can't bear the sight of]]》...が大嫌いである / 《[[catch [get, have] ~|catch sight of]]》...を見つける /《in ~》...が見えるところに / 《[[lose ~|lose sight of]]》...を見失う",/saɪt ɒv/,239785,The sight of the sunset over the ocean took my breath away.,海の上で夕日を見る光景に息をのんだ。,3007291
,,,,in advance,"前もって, あらかじめ / 前金で, 前払いで / ...より前に, ...に先だって《of ...》",,"前もって, あらかじめ / 前金で, 前払いで / ...より前に, ...に先だって《of ...》",/ɪn ədˈvæns/,239786,Please let us know in advance if you are unable to attend the meeting.,会議に出席できない場合は、事前にお知らせください。,3007295
,,,,by no means,"けっして…しない, けっして…ない / 《否定の返答》そんなことはありません, とんでもない",,"けっして…しない, けっして…ない / 《否定の返答》そんなことはありません, とんでもない",/baɪ noʊ minz/,239795,I will by no means give up on my dreams.,私は決して夢を諦めません。,3007304
,,,,in spite of,"...にもかかわらず, ...をものともせず / （やるまいと思っても）思わず《oneself》",,"...にもかかわらず, ...をものともせず / （やるまいと思っても）思わず《oneself》",/ɪn spaɪt ʌv/,239720,"In spite of the rain, we decided to go for a walk.",雨にもかかわらず、私たちは散歩に行くことに決めました。,3007230
,,,,on board,"（バス･列車などの）車内に / 船上に /（飛行機･船など）に乗って / （組織・活動などに）かかわって / 《be ~》乗り気である,賛成である",,"（バス･列車などの）車内に / 船上に /（飛行機･船など）に乗って / （組織・活動などに）かかわって / 《be ~》乗り気である,賛成である",/ɒn bɔːrd/,239820,Please keep your belongings with you on board.,乗車中はお荷物をお手元にお持ちください。,3007327
,,,,happen to,"（人）に起こる, ...にふりかかる / 偶然…する, たまたま…する, ちょうど...する《do》",,"（人）に起こる, ...にふりかかる / 偶然…する, たまたま…する, ちょうど...する《do》",/hæpən tuː/,239826,I [[happen to]] know him.,私はたまたま彼を知っています。,3007334
,,,,in short,"要約すると, 手短に言うと, 詰まるところ",,"要約すると, 手短に言うと, 詰まるところ",/ɪn ʃɔrt/,239841,"In short, the project was a success.",要約すると、プロジェクトは成功でした。,3007348
,,,,put up,"置く、泊める、提供する、（見えるように）を取り付ける, （壁などに）を貼る / ...を大目に見る《with ...》/ を建てる、を置く",,"置く、泊める、提供する、（見えるように）を取り付ける, （壁などに）を貼る / ...を大目に見る《with ...》/ を建てる、を置く",/pʊt ʌp/,239846,I need to put up some shelves in my room.,私は部屋に棚を取り付ける必要があります。,3007355
,,,,such that,"...であるような /  ...であるように / 《be ~》はとても優れていたので....だ
",,"...であるような /  ...であるように / 《be ~》はとても優れていたので....だ
",/sʌtʃ ðæt/,239869,I want to find a job such that I can work from home.,私は在宅で働けるような仕事を見つけたいです。,3007377
,,,,for sale,"売り物の,売るために,売るための / 売り出し中で",,"売り物の,売るために,売るための / 売り出し中で",/fɔːr seɪl/,239888,I have a car for sale.,私は売り物の車を持っています。,3007393
,,,,or anything,"...といったさまざまなこと, ...や何か, ...とかいったもの / 《否定文で》...も何もなくて",,"...といったさまざまなこと, ...や何か, ...とかいったもの / 《否定文で》...も何もなくて",/ɔr ˈɛniθɪŋ/,239889,You can talk to me about your problems or anything else.,あなたは自分の問題や他の何でも私に話すことができます。,3007394
,,,,most likely,"...する可能性が最も高い, 最も...しそう《to do》/ 最も可能性が高い,もっともありそうな",,"...する可能性が最も高い, 最も...しそう《to do》/ 最も可能性が高い,もっともありそうな",/moʊst ˈlaɪkli/,239890,He will most likely win the competition.,彼はおそらく競技に勝つでしょう。,3007396
,,,,a good,"少なくとも（数量・時間） ,最低でも（数量・時間） / 《~ amount of ...》かなりの...",,"少なくとも（数量・時間） ,最低でも（数量・時間） / 《~ amount of ...》かなりの...",/ə ɡʊd/,239907,I need a good amount of time to finish this project.,このプロジェクトを終わらせるには、少なくとも十分な時間が必要です。,3007410
,,,,in conjunction with,"...と連結して, ...とつないで, ...と共に, ...と同時に / ...と協力して",,"...と連結して, ...とつないで, ...と共に, ...と同時に / ...と協力して",/ɪn kənˈdʒʌŋkʃən wɪð/,239914,The new highway will be built in conjunction with the existing road.,新しい高速道路は既存の道路と連結して建設されます。,3007416
,,,,make use of," （物）を利用する, ...を使う",," （物）を利用する, ...を使う",/meɪk juːs ʌv/,239927,I always make use of my smartphone to stay connected with my friends.,私はいつもスマートフォンを利用して友達とつながっています。,3007432
,,,,little more than,...にすぎない / （数量の少なさを強調して）たった...,,...にすぎない / （数量の少なさを強調して）たった...,/lɪtəl mɔːr ðæn/,239937,He is little more than a beginner at playing the piano.,彼はピアノ演奏に関しては初心者に過ぎない。,3007441
,,,,put together,（まとめて、物）を製作する / （情報などを集めて、計画など）を出す / （バラバラにされた部品など）を組み立てる / （人を集めて、グループなど）を編成する,,（まとめて、物）を製作する / （情報などを集めて、計画など）を出す / （バラバラにされた部品など）を組み立てる / （人を集めて、グループなど）を編成する,/pʊt təˈɡɛðər/,239948,I need to put together a presentation for tomorrow's meeting.,明日の会議のためにプレゼンテーションをまとめる必要があります。,3007453
,,,,at the expense of,"...の金を使って, ...の費用負担で / ...を犠牲にして, ...を食い物にして, ...をだしにして",,"...の金を使って, ...の費用負担で / ...を犠牲にして, ...を食い物にして, ...をだしにして",/æt ðə ɪkˈspɛns ʌv/,239947,He achieved success [[at the expense of]] his health.,彼は健康を犠牲にして成功を達成した。,1630868
,,,,go round,"【動/自】《...を》（短時間）訪れる《to ...》 / （次々と）回る, 動き回る / （うわさなどが）広まる【動/他】を動き回る / （場所）に広まる",,"【動/自】《...を》（短時間）訪れる《to ...》 / （次々と）回る, 動き回る / （うわさなどが）広まる【動/他】を動き回る / （場所）に広まる",/ɡoʊ raʊnd/,239966,I like to go round the city on my bike.,私は自転車で街を回るのが好きです。,3007464
,,,,the whole thing,"【名】全部, 全て",,"【名】全部, 全て",/ðə hoʊl θɪŋ/,239967,I ate the whole thing.,私は全部食べました。,3007463
,,,,the outset,"最初, 出だし/ 《at ~》最初に,最初は",,"最初, 出だし/ 《at ~》最初に,最初は",/ðə ˈaʊtˌsɛt/,239984,"At the outset, I want to thank everyone for coming today.",最初に、今日来てくれた皆さんに感謝したいと思います。,3007486
,,,,by virtue of,"《かたく》（物・事）の理由で, ...のおかげで",,"《かたく》（物・事）の理由で, ...のおかげで",/baɪ ˈvɜːr.tʃuːv/,239985,"By virtue of his hard work, he was promoted to a higher position.",彼は一生懸命働いたことによって、昇進した。,3007488
,,,,in the interest of,"（事･人）のために, ...を実現するために",,"（事･人）のために, ...を実現するために",/ɪn ðə ˈɪntrəst əv/,239988,"In the interest of public safety, the event has been canceled.",公共の安全のために、イベントは中止されました。,3007490
,,,,make out,"を見分ける,を聞き分ける / を理解する  /  進展する / イチャイチャする",,"を見分ける,を聞き分ける / を理解する  /  進展する / イチャイチャする",/meɪk aʊt/,240008,I couldn’t [[make out]] what my grandpa was saying.,おじいちゃんが何を言っているのか聞き取れなかった。,1017468
,,,,come to terms with,"（人や組織など）と妥協する, ...と折り合いをつける / （不快なことなど）を受け入れる, ...を甘受する",,"（人や組織など）と妥協する, ...と折り合いをつける / （不快なことなど）を受け入れる, ...を甘受する",/kʌm tu tɜːrmz wɪð/,240009,It took me a long time to [[come to terms with]] the fact that I couldn't change the past.,過去を変えることはできないという事実を受け入れるのに長い時間がかかりました。,3007507
,,,,get away with,"（悪事）をしても罰を受けない, ...をしても捕まらない / ...を持って逃げる / ...でその場を切り抜ける",,"（悪事）をしても罰を受けない, ...をしても捕まらない / ...を持って逃げる / ...でその場を切り抜ける",/ɡɛt əˈweɪ wɪθ/,240013,He always manages to [[get away with]] his bad behavior.,彼はいつも悪い行動をしても罰を受けずに逃げ切る。,3007508
,,,,at work,"会社で働いて, 勤務中で / （機械などが）稼動中で / （力が）作用して / 《...に》取り組んで, 取りかかって 《~ on ...》",,"会社で働いて, 勤務中で / （機械などが）稼動中で / （力が）作用して / 《...に》取り組んで, 取りかかって 《~ on ...》",/æt wɜːrk/,240026,I am busy at work today.,今日は仕事で忙しいです。,3007520
,,,,as well as,...だけではなく...も / 《接続詞的に》...同様に / ...と同じくらい上手に / ...する限りは,,...だけではなく...も / 《接続詞的に》...同様に / ...と同じくらい上手に / ...する限りは,/æz wɛl æz/,239541,She is fluent in English as well as French.,彼女はフランス語だけではなく、英語も流暢です。,3007061
,,,,as far as,【接】…の限りでは / …と同じ距離まで / 《~ ... goes》...に関する限りでは /【前】（ある場所･程度）まで,,【接】…の限りでは / …と同じ距離まで / 《~ ... goes》...に関する限りでは /【前】（ある場所･程度）まで,/æz fɑr æz/,239637,"As far as I know, she is not coming to the party.",私の知る限りでは、彼女はパーティーに来ない。,3007152
,,,,nothing but,"...だけ, ほんの...のみ, ...ばかり / 《be ~ 》...にすぎない / ...にほかならない / 《do ~ do》...してばかりいる",,"...だけ, ほんの...のみ, ...ばかり / 《be ~ 》...にすぎない / ...にほかならない / 《do ~ do》...してばかりいる",/ˈnʌθɪŋ bʌt/,239867,I want nothing but happiness.,私は幸せ以外何も望んでいません。,3007373
,,,,last night,"昨夜, 昨晩",,"昨夜, 昨晩",/læst naɪt/,239577,I watched a movie last night.,昨夜、私は映画を見ました。,3007093
,,,,at one time,"かつては, 一時は / 一斉に, 同時に",,"かつては, 一時は / 一斉に, 同時に",/æt wʌn taɪm/,239968,I used to live in New York at one time.,かつては私はニューヨークに住んでいました。,3007472
,,,,I mean,"《話》《訂正》いやその,そうではなくて  / 《補足・強調》いや,つまり/ 《正当化》だって / 《前置き》なんというか",,"《話》《訂正》いやその,そうではなくて  / 《補足・強調》いや,つまり/ 《正当化》だって / 《前置き》なんというか",/aɪ miːn/,239535,"I mean, that's not what I said.",いや、それは私が言ったことではありません。,3007056
,,,,ought to,"...するべきである,...のはずである,...するのは当然である",,"...するべきである,...のはずである,...するのは当然である",/ɔːt tuː/,239624,You ought to apologize for your behavior.,あなたは自分の行動について謝るべきです。,3007137
,,,,all the time,"（その間中）ずっと, いつも / 《接続詞的に》…の間はずっと / 年がら年中, 四六時中",,"（その間中）ずっと, いつも / 《接続詞的に》…の間はずっと / 年がら年中, 四六時中",/ɔːl ðə taɪm/,239674,I think about you all the time.,私はずっとあなたのことを考えています。,3007186
,,,,lots of,"《インフォーマル》たくさんの, 多くの",,"《インフォーマル》たくさんの, 多くの",/lɒts əv/,239669,There are lots of books on the shelf.,本棚にはたくさんの本があります。,3007180
,,,,old fashioned,"【形】時代遅れの, 流行遅れの /  一昔前の, 旧式の / 昔懐かしい / 《…に関して》 古い考えの, 時代錯誤の《about ...》/ 古風な, 昔ながらの / （表情が）非難めいた",,"【形】時代遅れの, 流行遅れの /  一昔前の, 旧式の / 昔懐かしい / 《…に関して》 古い考えの, 時代錯誤の《about ...》/ 古風な, 昔ながらの / （表情が）非難めいた",/əʊld ˈfæʃənd/,239887,She prefers to wear old fashioned clothes.,彼女は時代遅れの服を着ることを好む。,3007391
,,,,day to day,"【形】毎日の, 毎日起きる, 日常的な / 場当たり的な / 当座の【副】毎日, 日常的に",,"【形】毎日の, 毎日起きる, 日常的な / 場当たり的な / 当座の【副】毎日, 日常的に",/deɪ tə deɪ/,239910,I have to deal with day to day tasks at work.,私は仕事で日々のタスクに対処しなければなりません。,3007414
,,,,make up one’s mind,《...について/...することを/...ということを》決心する《about / to do / that節》/ 《...であると》判断を下す《that ...》 /  《…するのは》仕方ないとあきらめる 《to doing》,,《...について/...することを/...ということを》決心する《about / to do / that節》/ 《...であると》判断を下す《that ...》 /  《…するのは》仕方ないとあきらめる 《to doing》,/māk ʌp wʌn's maɪnd/,240025,I need to make up my mind about which college to attend.,どの大学に行くかを決める必要があります。,6535851
,,,,such a,そのような... / とても /《強調》なんて...のような,,そのような... / とても /《強調》なんて...のような,/sʌtʃ ə/,239534,I have never seen such a beautiful sunset before.,私は今までにそのような美しい夕日を見たことがありません。,3007054
,,,,a great deal,"多量,たくさん /《~ of ...》多量の..., たくさんの... / 《副詞的に》ぐっと, うんと, 相当に, 大いに",,"多量,たくさん /《~ of ...》多量の..., たくさんの... / 《副詞的に》ぐっと, うんと, 相当に, 大いに",/ə ɡreɪt diːl/,239620,They get a great deal of snow in Hokkaido.,北海道では雪がたくさん降る。,8361
,,,,all over,"【副】全体にわたって,一面に / すっかり,全部終わって / どこからどこまでも, いかにも（人･物）らしい / 【前】《be 〜 ...》...を支配して",,"【副】全体にわたって,一面に / すっかり,全部終わって / どこからどこまでも, いかにも（人･物）らしい / 【前】《be 〜 ...》...を支配して",/'ɔːl 'oʊvər/,239645,The news spread all over the city.,そのニュースは街全体に広まった。,3007161
,,,,get on,"（中断していたこと）を続ける《with》；すぐに行動を開始する,ぐずぐずせずにやる 《with it》 / （乗り物）に乗る / うまくやっていく, 仲良くやっていく, 気が合う / 《~ better terms with ...》...とより良い関係になる",,"（中断していたこと）を続ける《with》；すぐに行動を開始する,ぐずぐずせずにやる 《with it》 / （乗り物）に乗る / うまくやっていく, 仲良くやっていく, 気が合う / 《~ better terms with ...》...とより良い関係になる",/ɡɛt ɒn/,239664,I need to get on with my work.,仕事を続ける必要があります。,3007173
,,,,in turn,次に、それに続いて、その結果,,次に、それに続いて、その結果,/ɪn tɜːrn/,239672,Each student in the class has to present their project in turn.,クラスの各学生は順番に自分のプロジェクトを発表しなければなりません。,6150336
,,,,on the basis,"《...に》基づいて《of ...》 / ...ということに基づいて, ...という前提で《that ...》",,"《...に》基づいて《of ...》 / ...ということに基づいて, ...という前提で《that ...》",/ɒn ðə ˈbeɪsɪs/,239675,Decisions should be made on the basis of facts and evidence.,決定は事実と証拠に基づいて行われるべきです。,3007189
